ADSK;ATVI;PYPL;AMD;INTC;QCOM;NFLX;TXN;ADBE;TMUS;CSCO;AVGO;META;NVDA;TSLA;AMZN;GOOGL;GOOG;MSFT;APPL
191;75;91;68;27;119;245;163;281;136;41;466;142;127;288;118;100;101;241;150
189;75;89;64;26;115;240;158;278;135;41;450;136;122;268;115;97;98;238;142
187;74;86;63;26;113;235;155;275;134;40;444;136;121;265;113;96;96;233;138
192;74;87;66;27;117;239;160;285;139;41;457;139;125;242;116;99;99;241;142
200;75;93;68;28;122;241;165;295;143;42;480;140;132;249;121;102;102;249;146
205;74;94;68;28;125;237;168;297;141;42;485;139;132;241;121;101;102;249;146
206;74;94;68;27;125;240;167;298;139;42;480;139;131;238;120;101;102;247;145
195;73;90;58;26;121;225;159;289;138;40;460;133;121;223;115;99;100;234;140
191;74;85;58;25;115;230;157;286;138;40;438;134;117;223;114;98;99;229;140
191;74;83;58;25;110;214;153;285;137;40;431;129;116;217;112;97;98;225;139
194;74;84;58;25;109;221;152;286;133;39;431;128;115;217;113;98;98;226;138
194;73;84;59;26;113;233;154;295;133;41;438;130;120;222;113;99;100;234;143
190;72;80;56;26;110;230;148;288;132;40;427;127;112;205;107;97;97;229;138
199;72;85;58;26;112;245;151;294;134;41;435;134;119;219;114;100;101;238;142
201;72;85;58;26;111;241;152;293;136;42;435;133;120;220;116;101;101;239;144
197;72;84;57;26;113;272;153;300;136;42;435;133;121;222;115;100;100;236;144
198;73;85;58;26;112;268;154;302;136;42;430;132;122;207;115;100;101;236;143
201;73;84;59;27;116;290;160;306;136;43;450;130;125;214;119;101;101;242;147
207;73;83;59;27;116;282;162;316;139;44;457;130;126;211;120;103;103;247;149
216;73;89;61;27;119;291;162;324;141;44;460;138;133;222;121;104;105;251;152
215;72;89;60;27;118;299;158;320;141;44;461;130;129;225;116;95;95;231;149
210;73;87;59;26;115;297;157;319;141;44;455;98;132;225;111;92;93;227;145
216;73;86;62;29;119;296;161;326;151;46;473;99;138;229;103;96;97;236;156
214;73;84;60;28;118;292;161;319;152;45;470;93;135;228;102;95;95;232;153
214;73;83;60;28;117;287;163;316;152;45;468;95;135;228;97;90;91;228;151
199;73;79;59;27;113;273;158;301;150;45;456;91;132;215;92;87;87;220;145
194;72;77;60;27;104;269;157;286;148;44;444;89;134;215;89;83;83;214;139
194;72;75;62;28;107;261;163;286;149;45;465;91;142;207;91;87;87;221;138
195;71;78;63;28;110;259;166;300;150;45;475;97;143;197;91;88;89;228;139
199;72;81;64;28;113;263;168;302;150;45;482;96;146;191;90;89;89;229;140
195;72;79;60;28;110;255;165;299;149;44;469;101;138;178;86;87;87;225;135
223;74;87;68;30;121;275;175;330;150;46;507;112;158;191;97;94;94;243;147
229;74;91;72;30;121;290;179;341;146;45;518;113;163;196;101;96;97;247;150
223;74;90;74;30;121;299;177;340;145;45;513;114;163;191;98;96;96;242;148
232;74;90;76;31;126;310;178;346;145;45;524;117;167;194;99;98;99;242;150
221;74;87;73;30;121;306;173;338;145;44;512;113;159;187;97;99;99;242;149
